"","X","Fecha","Titulo.Comunicado","Link","ID","Autor","Autor_G","name"
"1",0,"2017-06-12","De las armas a las palabras","http://www.farc-ep.co/comunicado/de-las-armas-a-las-palabras.html",422,"estado mayor central de las farc-ep","otros","2017-06-12_422.txt"
"2",1,"2017-06-07","Nuestra única arma será la palabra, lo prometimos y lo cumplimos.","http://www.farc-ep.co/comunicado/nuestra-unica-arma-sera-la-palabra-lo-prometimos-y-lo-cumplimos.html",421,"dirección de la zona veredal jaime pardo leal","otros","2017-06-07_421.txt"
"3",2,"2017-05-31","Continúan ataques contra la paz","http://www.farc-ep.co/comunicado/continuan-ataques-contra-la-paz.html",420,"delegación de las farc-ep en la csivi","otros","2017-05-31_420.txt"
"4",3,"2017-05-29","Comunicado #19 de la comisión de seguimiento e impulso a la verificación e implementación del Acuerdo Final","http://www.farc-ep.co/comunicado/comunicado-19-de-la-comision-de-seguimiento-e-impulso-a-la-verificacion-e-implementacion-del-acuerdo-final.html",419,"estado mayor central de las farc-ep","otros","2017-05-29_419.txt"
"5",4,"2017-05-26","FARC-EP, 53 años de lucha por la PAZ.","http://www.farc-ep.co/comunicado/farc-ep-53-anos-de-lucha-por-la-paz.html",418,"delegación de las farc-ep en la csivi","otros","2017-05-26_418.txt"
"6",5,"2017-05-23","Se aprueba en CSIVI decreto que crea Fondo de Tierras","http://www.farc-ep.co/comunicado/se-aprueba-en-csivi-decreto-que-crea-fondo-de-tierras.html",417,"delegación de las farc-ep en la csivi","otros","2017-05-23_417.txt"
"7",6,"2017-05-19","Gobierno Nacional le hace trampa a la democratización de la tierra pactada en el Acuerdo Final de Paz","http://www.farc-ep.co/comunicado/gobierno-nacional-le-hace-trampa-a-la-democratizacion-de-la-tierra-pactada-en-el-acuerdo-final-de-paz.html",416,"comando de dirección ptn silverio mora","otros","2017-05-19_416.txt"
"8",7,"2017-05-15","Pronunciamiento del Punto Transitorio de Normalización Silverio Mora sobre presencia paramilitar.","http://www.farc-ep.co/comunicado/pronunciamiento-del-punto-transitorio-de-normalizacion-silverio-mora-sobre-presencia-paramilitar.html",415,"administrador","otros","2017-05-15_415.txt"
"9",8,"2017-05-15","Declaración de las FARC-EP a raíz del pronunciamiento de La Corte Constitucional.","http://www.farc-ep.co/comunicado/declaracion-de-las-farc-ep-a-raiz-del-pronunciamiento-de-la-corte-constitucional.html",414,"estado mayor central de las farc-ep","otros","2017-05-15_414.txt"
"10",9,"2017-05-15","Júbilo internacional por la libertad de Oscar López Rivera","http://www.farc-ep.co/comunicado/jubilo-internacional-por-la-libertad-de-oscar-lopez-rivera.html",413,"comando central del eln y secretariado del emc de las farc-ep","otros","2017-05-15_413.txt"
"11",10,"2017-05-11","Juntos por la solución política","http://www.farc-ep.co/comunicado/juntos-por-la-solucion-politica.html",412,"comando de dirección zona veredal transitoria de normalización urías rondón","otros","2017-05-11_412.txt"
"12",11,"2017-05-06","Cosas buenas, informe de la Zona Urías Rondón","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-cosas-buenas-informe-de-la-zona-urias-rondon-html.html",411,"comando zona veredal transitoria de normalización georgina ortiz","otros","2017-05-06_411.txt"
"13",12,"2017-05-05","Recibimiento del Consejo de Seguridad de las Naciones Unidas","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-recibimiento-del-consejo-de-seguridad-de-las-naciones-unidas-html.html",410,"comando de dirección de la zona veredal transitoria camarada román ruiz","otros","2017-05-05_410.txt"
"14",13,"2017-05-03","Infamias del Teniente Coronel  Hernán Gutiérrez sobre Zona Veredal en Ituango","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-infamias-del-teniente-coronel-hernan-gutierrez-sobre-zona-veredal-en-ituango-html.html",409,"timoleón jiménez","otros","2017-05-03_409.txt"
"15",14,"2017-04-27","Acerca de la inaudita prohibición del Congreso de la República","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-acerca-de-la-inaudita-prohibicion-del-congreso-de-la-republica-html.html",408,"estado mayor de las farc-ep","otros","2017-04-27_408.txt"
"16",15,"2017-04-26","Nueva masacre contra familiares de guerrillero de las FARC-EP","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-nueva-masacre-contra-familiares-de-guerrillero-de-las-farc-ep-html.html",407,"estado mayor central de las farc-ep","otros","2017-04-26_407.txt"
"17",16,"2017-04-26","Las FARC-EP rechaza el asesinato de familiares de un guerrilleros en el sur del Chocó","http://www.farc-ep.co/comunicado/las-farc-ep-rechaza-el-asesinato-de-familiares-de-un-guerrilleros-en-el-sur-del-choco.html",406,"comando de dirección zvtn jeiler mosquera","otros","2017-04-26_406.txt"
"18",17,"2017-04-25","Mantenemos la dignidad a pesar de las circunstancias","http://www.farc-ep.co/comunicado/mantenemos-la-dignidad-a-pesar-de-las-circunstancias.html",405,"estado mayor de las farc ep","otros","2017-04-25_405.txt"
"19",18,"2017-04-20","Asesinado nuestro camarada Luis Alberto Ortiz Cabezas, beneficiario de la Ley de Amnistía e Indulto","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-asesinado-nuestro-camarada-luis-alberto-ortiz-cabezas-beneficiario-de-la-ley-de-amnistia-e-indulto-html.html",404,"farc-ep","otros","2017-04-20_404.txt"
"20",19,"2017-04-14","Nos solidarizamos con la camarada prisionera Rocío Cuellar Guevara por la muerte de su bebe recién nacido","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-http-www-farc-ep-co-comunicado-nos-solidarizamos-con-rocio-cuellar-guevara-por-la-muerte-de-su-bebe-recien-nacido-html-html.html",403,"farc-ep","otros","2017-04-14_403.txt"
"22",21,"2017-04-05","Acuerdo Sobre La Verdad, El Perdón Y La Reconciliación Con Víctimas Del Atentado Al Club El Nogal De Bogotá","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-acuerdo-sobre-la-verdad-el-perdon-y-la-reconciliacion-con-victimas-del-atentado-al-club-el-nogal-de-bogota-html.html",401,"farc-ep","otros","2017-04-05_401.txt"
"23",22,"2017-04-05","Alexander Mojoso ex-comandante del 14 Frente, retorna a las FARC-EP","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-alexander-mojoso-ex-comandante-del-14-frente-retorna-a-las-farc-ep-html.html",400,"comando zona veredal ariel aldana","otros","2017-04-05_400.txt"
"25",24,"2017-03-27","A 9 años de la partida de Manuel Marulanda Vélez","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-a-9-anos-de-la-partida-de-manuel-marulanda-velez-html.html",398,"estado mayor central de las farc-ep","otros","2017-03-27_398.txt"
"26",25,"2017-03-19","Las FARC-EP lamentamos fallecimiento de Martin McGuinness","http://www.farc-ep.co/comunicado/las-farc-ep-lamentamos-fallecimiento-de-martin-mcguinness.html",397,"estado mayor de las farc-ep","otros","2017-03-19_397.txt"
"27",26,"2017-03-08","El día que se infartó la paz de Colombia","http://www.farc-ep.co/comunicado/el-dia-que-se-infarto-la-paz-de-colombia.html",396,"estado mayor central de las farc-ep","otros","2017-03-08_396.txt"
"29",28,"2017-02-28","Colombianos: la patria ha sido bendecida por la esperanza y ya puede emprender sus primeros pasos hacia el futuro","http://www.farc-ep.co/comunicado/colombianos-la-patria-ha-sido-bendecida-por-la-esperanza-y-ya-puede-emprender-sus-primeros-pasos-hacia-el-futuro.html",394,"gobierno nacional y farc – ep","otros","2017-02-28_394.txt"
"30",29,"2017-02-25","Acuerdo colectivo para la Sustitución Voluntaria y Concertada de Cultivos de Uso Ilícito","http://www.farc-ep.co/comunicado/acuerdo-colectivo-para-la-sustitucion-voluntaria-y-concertada-de-cultivos-de-uso-ilicito.html",393,"administrador","otros","2017-02-25_393.txt"
"31",30,"2017-02-25","Huelga de hambre indefinida por prisioneros políticos de las FARC-EP","http://www.farc-ep.co/comunicado/huelga-de-hambre-indefinida-por-prisioneros-politicos-de-farc-ep-en-carcel-de-san-isidro-popayan.html",392,"estado mayor central de las farc-ep","otros","2017-02-25_392.txt"
"32",31,"2017-02-20","Carta a Jean Arnault, Representante del Secretario General de NN.UU.","http://www.farc-ep.co/comunicado/carta-a-jean-arnault-representante-del-secretario-general-de-nnuu.html",391,"bloque occidental comandante alfonso cano (bocac)","otros","2017-02-20_391.txt"
"33",32,"2017-02-18","Jugadores de América de Cali y Nacional de Medellín visitan zona veredal La Elvira","http://www.farc-ep.co/comunicado/jugadores-de-america-de-cali-y-nacional-de-medellin-visitan-zona-veredal-la-elvira.html",390,"gobierno nacional y farc – ep","otros","2017-02-18_390.txt"
"34",33,"2017-02-18","Comunicado Conjunto: Visita del  Presidente de la República a ZVTN es un paso fundamental en la construcción de la paz.","http://www.farc-ep.co/comunicado/comunicado-conjunto.html",389,"administrador","otros","2017-02-18_389.txt"
"35",34,"2017-02-12","Carta abierta a los y las compatriotas de la iniciativa Criando la Paz","http://www.farc-ep.co/comunicado/carta-abierta-a-los-y-las-compatriotas-de-la-iniciativa-criando-la-paz.html",388,"farc-ep","otros","2017-02-12_388.txt"
"38",37,"2017-02-07","Saludo A Todas Y Todos Los Periodistas En Su Día","http://www.farc-ep.co/comunicado/saludo-a-todas-y-todos-los-periodistas-en-su-dia.html",385,"administrador","otros","2017-02-07_385.txt"
"39",38,"2017-02-07","Comunicado #2 CNR Sobre Reincorporación Para Los Menores De Edad","http://www.farc-ep.co/comunicado/comunicado-2-cnr-sobre-reincorporacion-para-los-menores-de-edad.html",384,"bloque oriental","otros","2017-02-07_384.txt"
"40",39,"2017-02-02","Emergencia Humanitaria En Zona Veredal Charras En San José Del Guaviare","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-emergencia-humanitaria-en-zona-veredal-charras-en-san-jose-del-guaviare-html.html",383,"zvtn cooperativa vista hermosa meta","otros","2017-02-02_383.txt"
"41",40,"2017-01-31","Precarias Condiciones En Zona Veredal Cooperativa de Vista Hermosa Meta","http://www.farc-ep.co/comunicado/precarias-condiciones-en-zona-veredal-cooperativa-de-vista-hermosa-meta.html",382,"bloque sur","otros","2017-01-31_382.txt"
"42",41,"2017-01-30","EL BLOQUE SUR INICIA SU MARCHA, ACOMPAÑÉMOSLO EN SU RECORRIDO","http://www.farc-ep.co/comunicado/el-bloque-sur-inicia-su-marcha-acompanemoslo-en-su-recorrido.html",381,"frente 18","otros","2017-01-30_381.txt"
"43",42,"2017-01-29","Paramilitares Amenazan Pobladores Cerca A Zona Veredal De Ituango","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-http-www-farc-ep-co-administrator-index-php-option-com-k2-view-item-cid-1629-html.html",380,"consejo nacional de reincorporación","otros","2017-01-29_380.txt"
"44",43,"2017-01-26","Listo El Plan Para Sustitución Voluntaria De Cultivos De Uso Ilícito","http://www.farc-ep.co/comunicado/listo-el-plan-para-sustitucion-voluntaria-de-cultivos-de-uso-ilicito.html",379,"administrador","otros","2017-01-26_379.txt"
"45",44,"2017-01-25","Comunicado No. 01  Consejo Nacional De Reincorporación (CNR)","http://www.farc-ep.co/comunicado/comunicado-no-01-consejo-nacional-de-reincorporacion-cnr.html",378,"estado mayor central de las farc-ep","otros","2017-01-25_378.txt"
"46",45,"2017-01-22","Declaración Política Pleno Del Estado Mayor Central De Las FARC-EP","http://www.farc-ep.co/comunicado/declaracion-politica-pleno-del-estado-mayor-central-de-las-farc-ep.html",377,"estado mayor de las farc-ep","otros","2017-01-22_377.txt"
"47",46,"2017-01-19","Carta Abierta A Simón Trinidad","http://www.farc-ep.co/comunicado/carta-abierta-a-simon-trinidad.html",376,"estado mayor bloque occidental comandante alfonso cano de las farc-ep.","otros","2017-01-19_376.txt"
"48",47,"2017-01-18","Comunicado A La Opinión Pública: Las FARC-EP Se Solidarizan Con Familia De La Señora Emilsen Manyoma","http://www.farc-ep.co/comunicado/comunicado-a-la-opinion-publica-las-farc-ep-se-solidarizan-con-familia-de-la-senora-emilsen-manyoma.html",375,"comando zona transitoria veredal de normalización de icononzo.","otros","2017-01-18_375.txt"
"50",49,"2017-01-05","Desmentimos Falsas Acusaciones Que Nos Vinculan Con Mafias Brasileñas","http://www.farc-ep.co/comunicado/desmentimos-falsas-acusaciones-que-nos-vinculan-con-mafias-brasilenas.html",373,"unidad centro del bloque magdalena medio farc – ep","otros","2017-01-05_373.txt"
"51",50,"2017-01-03","Sobre El Reciente Bombardeo A Los Compañeros Del ELN","http://www.farc-ep.co/comunicado/sobre-el-reciente-bombardeo-a-los-companeros-del-eln.html",372,"estado mayor central de las farc-ep","otros","2017-01-03_372.txt"
"52",51,"2016-12-30","Saludo De Las FARC-EP Al Pueblo Colombiano","http://www.farc-ep.co/comunicado/saludo-de-las-farc-ep-al-pueblo-colombiano.html",371,"comisión internacional de las farc-ep","otros","2016-12-30_371.txt"
"53",52,"2016-12-29","Saludos De Las FARC-EP A Los Pueblos y Gobiernos Del Mundo","http://www.farc-ep.co/comunicado/saludos-de-las-farc-ep-a-los-pueblos-y-gobiernos-del-mundo.html",370,"el gobierno nacional y las farc-ep","otros","2016-12-29_370.txt"
"54",53,"2016-12-28","Comunicado Conjunto #10 Del Gobierno Nacional y las FARC-EP","http://www.farc-ep.co/comunicado/comunicado-conjunto-10-del-gobierno-nacional-y-las-farc-ep.html",369,"estado mayor central de las farc-ep","otros","2016-12-28_369.txt"
"55",54,"2016-12-27","Sobre Las Absurdas e Infames Declaraciones Del Gobernador De Antioquia Luis Pérez Gutiérrez","http://www.farc-ep.co/comunicado/sobre-las-absurdas-e-infames-declaraciones-del-gobernador-de-antioquia-luis-perez-gutierrez.html",368,"comando de dirección del ppt de vista hermosa","otros","2016-12-27_368.txt"
"57",56,"2016-12-19","Las FARC-EP rechaza el asesinato del embajador ruso en Turquía, Andréi Kárlov","http://www.farc-ep.co/comunicado/las-farc-ep-rechaza-el-asesinato-del-embajador-ruso-en-turquia-andrei-karlov.html",366,"farc-ep","otros","2016-12-19_366.txt"
"58",57,"2016-12-13","FARC-EP separa a 5 mandos de sus filas","http://www.farc-ep.co/comunicado/farc-ep-separa-a-5-mandos-de-sus-filas.html",365,"comando del punto de pre-agrupamiento de san miguel, el retorno, guaviare","otros","2016-12-13_365.txt"
"60",59,"2016-12-04","FARC-EP hacen reconocimiento público de responsabilidades frente a familiares de los 12 diputados del Valle","http://www.farc-ep.co/comunicado/farc-ep-hacen-reconocimiento-publico-de-responsabilidades-a-familiares-de-los-12-diputados-del-valle.html",363,"farc-ep","otros","2016-12-04_363.txt"
"61",60,"2016-12-01","COMUNICADO CONJUNTO #8","http://www.farc-ep.co/comunicado/comunicado-conjunto-8.html",362,"farc-ep","otros","2016-12-01_362.txt"
"62",61,"2016-11-30","Carta pública a señores Facebook Colombia","http://www.farc-ep.co/comunicado/carta-a-senores-facebook-colombia.html",361,"timoleón jiménez","otros","2016-11-30_361.txt"
